Class,unique_id,text
Fake,https://www.thegatewaypundit.com/2020/05/breaking-plandemic-documentary-website-hacked-defaced/,BREAKING: Plandemic Documentary Website Hacked and Defaced
Fake,https://www.breitbart.com/tech/2020/05/24/free-speech-platform-parler-wont-censor-plandemic-documentary-banned-by-silicon-valley/amp/,Free Speech Platform Parler Won't Censor 'Plandemic' Documentary Banned by Silicon Valley
Fake,https://www.thegatewaypundit.com/2020/05/facebook-removes-viral-plandemic-video-linking-face-masks-spread-covid-19/,Facebook Removes Viral 'Plandemic' Video For Linking Face Masks To The Spread Of COVID-19
Fake,https://www.lewrockwell.com/2020/05/gary-g-kohls/the-plandemic-facial-mask-issue/,The Plandemic Facial Mask Issue
Fake,https://www.zerohedge.com/technology/google-drive-takes-down-personal-copy-plandemic,"Google Drive Takes Down Personal Copy Of ""Plandemic"""
Fake,https://worldtruth.tv/censors-crack-down-on-plandemic-conspiracy-documentary-whats-so-dangerous-about-it/,Censors Crack Down On ‘Plandemic’ Conspiracy Documentary – What’s So Dangerous About It?
Fake,https://www.infowars.com/cnn-forces-sinclair-broadcast-group-to-axe-interview-with-plandemic-author-dr-judy-mikovits/,CNN Forces Sinclair Broadcast Group To Axe Interview With ‘Plandemic’ Author Dr Judy Mikovits
Fake,https://worldtruth.tv/after-plandemic-video-goes-super-viral-on-brighteon-facebook-bans-all-brighteon-links/,"After “Plandemic” Video Goes Super Viral On Brighteon, Facebook Bans All Brighteon Links"
Fake,https://www.naturalnews.com/2020-05-11-big-tech-censors-plandemic-film-bans-judy-mikovits-plague-corruption.html,"Big Tech censors Plandemic film, bans mentions of Judy Mikovits and Plague of Corruption"
Fake,https://www.rawstory.com/2020/05/coronavirus-plandemic-and-the-seven-traits-of-conspiratorial-thinking/,"Coronavirus, ‘Plandemic’ and the seven traits of conspiratorial thinking"
Fake,https://www.infowars.com/plandemic-movie-website-hacked-film-deleted-replaced-with-w-h-o-narrative/,"‘Plandemic’ Movie Website Hacked, Film Deleted, Replaced With W.H.O. Narrative"
Fake,https://humansarefree.com/2020/04/plandemic-fauci-in-2017-there-will-be-a-surprise-outbreak.html,Plandemic? Fauci in 2017: 'There Will Be A Surprise Outbreak'
